"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期"
"104","83583781","萬順企業有限公司","金門縣金寧鄉西浦頭79之10號2樓","吳宇鎮","250000","1090604"
"105","83583797","二房有限公司","宜蘭縣宜蘭市舊城西路光大巷26號","呂柏凱","100000","1090604"
"106","83583804","皓雅科技股份有限公司","新竹市東區龍山里龍山東路290號11樓之1","陳孟環","3000000","1090604"
"107","83583810","佳合裕國際貿易農產有限公司","雲林縣虎尾鎮立仁里29鄰北平路290巷57號1樓","陳明杰","500000","1090604"
"108","83583826","心藝術文化創意有限公司","新竹市北區長和里長和街82巷26號1樓","劉茂祥","100000","1090604"
"109","83583831","邑載有限公司","嘉義縣太保市北新里12鄰中山路一段228巷58號","黃鈺惠","100000","1090604"
"110","83583847","千虹有限公司","新竹縣湖口鄉湖南村乾興路279號","陳添祿","2000000","1090604"
"111","83583852","桂旭有限公司","彰化縣鹿港鎮海埔里海明街301巷28號","蕭義川","12000000","1090604"
"112","83583868","君航有限公司","彰化縣社頭鄉橋頭村員集路四段75巷2-1號","潘俊生","500000","1090604"
"113","83583874","篁京有限公司","南投縣竹山鎮中正里菜園路11之4號","張注雁","1000000","1090604"
"114","83583889","南盟國際投資有限公司","苗栗縣造橋鄉談文村5鄰育英一街6號1樓之22","洪明哲","1080000","1090604"
"115","83583895","堃岦工程有限公司","嘉義市東區新店里東義路109巷19-6號1樓","侯國中","2000000","1090604"
"116","83583902","東立實業股份有限公司","新竹縣竹北市成功十三街26號6樓","薛雅哲","5000000","1090604"
"117","83583918","昶勝開發有限公司","花蓮縣花蓮市主安里中原路368巷42號1樓","張明峰","1000000","1090604"
"118","83583924","寶霈科技股份有限公司","新竹市香山區牛埔路345號6樓之2","古智誠","1000000","1090604"
"119","83583939","苙昇貿易有限公司","彰化縣員林市大饒里香山西路47號","李苙愷","1000000","1090604"
"120","83583945","穎臻企業有限公司","嘉義縣義竹鄉新富村牛稠底103號","林玉蓮","300000","1090604"
"121","83583950","明山有限公司","苗栗縣公館鄉五谷村1鄰13-1號","范金花","3000000","1090604"
"122","83583966","曼巴運動管理顧問有限公司","基隆市中正區信一路160號2樓","喬淞璿","1000000","1090604"
"123","83583972","傅本家生技有限公司","雲林縣大埤鄉尚義村福德85巷6號1樓","李敬恒","300000","1090604"
"124","83583987","禹宥有限公司","基隆市安樂區六合里樂利三街359-1號7樓","杜榮豪","100000","1090604"
"125","83583993","妙思有限公司","新竹縣竹北市北崙里縣政十二街10巷9號1樓","梁顥嚴","300000","1090604"
"126","83584000","上韻生技有限公司","屏東縣屏東市潭墘里機場北路702號6樓之2","林品馨","200000","1090604"
"127","83584016","豐群事業有限公司","雲林縣虎尾鎮西安里文化路64號","陳慧如","500000","1090604"
"128","83584022","嘉人建設有限公司","嘉義市東區圳頭里盧義路237號3樓","尤偉驊","10000000","1090604"
"129","83584037","匯煜能源股份有限公司","新竹縣竹北市鹿場里文興路263號11樓","葉孟恒","100000","1090604"
"130","83584043","亞洲無限生活事業有限公司","新竹縣竹北市文化里縣政二路187號3樓","陳潔妤","200000","1090604"
"131","83584058","迎接奇蹟有限公司","新竹市東區明湖里明湖路1050巷430號二樓","劉杰宇","50000","1090605"
"132","83584064","匠心舖子有限公司","雲林縣虎尾鎮中溪里中興75-8號1樓","賴世宗","300000","1090605"
"133","83584070","陽光農場光電有限公司","嘉義縣梅山鄉梅北村中山路361巷42號1樓","黃謙騤","513579","1090605"
"134","83584085","黑騎士農漁牧休閒事業有限公司","新竹縣寶山鄉雙園路二段179-5號","王朝武","123168","1090605"
"135","83584091","恆智有限公司","彰化縣北斗鎮西德里中山路一段260巷64號1樓","蔡綸","200000","1090605"
