"序號","統一編號","公司名稱","公司所在地","代表人","資本額","核准設立日期","核准解散日期"
"107","16647363","安您身企業有限公司","臺中市西區忠勤街62巷5號1樓","","10000000","0870903","1090610"
"108","16651957","武衛股份有限公司","桃園市平鎮區東勢里快速路二段267巷26號2樓","","10000000","0870909","1090604"
"109","16667769","欣越國際開發有限公司","臺中市南區西川里崇倫北街188號1樓","","5000000","0871001","1090608"
"110","16671617","合能消防安全設備有限公司","臺中市烏日區九德街66巷12號1樓","","6000000","0871007","1090615"
"111","16715214","榮三達企業有限公司","新北市新店區安成街2巷1號11樓","","2000000","0871217","1090601"
"112","16733331","大陞國際股份有限公司","新北市板橋區中山路二段388之1號","","25000000","0880118","1090620"
"113","16752293","凱欣牙科器材有限公司","臺北市大安區安東街50之8號","","500000","0871008","1090605"
"114","16758135","久寶股份有限公司","臺北市士林區社正路45巷4弄8號1樓","","5000000","0871026","1090610"
"115","16788258","柏可有限公司","臺北市大安區仁愛路4段345巷4弄23號1樓","","3000000","0880223","1090601"
"116","16800149","巧鎧金屬工程有限公司","高雄市楠梓區宏昌里加昌路700巷52號","","500000","0880406","1090615"
"117","16801098","雄映企業有限公司","高雄市三民區博愛里大港街4號","","3000000","0880414","1090611"
"118","16808894","關鍵科技股份有限公司","高雄市鼓山區中華一路203號11樓","","5000000","0880714","1090601"
"119","16816472","双象國際農產股份有限公司","屏東縣屏東市崇蘭里中山路350號","","5000000","0881025","1090623"
"120","16845589","華慶投資股份有限公司","臺南市官田區南廍里南廍120號","","158000000","0880608","1090603"
"121","16919483","建一加油站有限公司","新北市中和區中山路2段361號","","12000000","0880518","1090617"
"122","16933062","品榮彈簧有限公司","新北市蘆洲區水湳街12號","","1000000","0880603","1090601"
"123","16996615","日產生物有限公司","新北市中和區建一路7號4樓","","5000000","0880902","1090629"
"124","20850042","榮利化工原料有限公司","臺北市信義區吳興街118巷16弄1之1號1樓","","6000000","0690317","1090629"
"125","20909753","陶盛貿易有限公司","臺北市大安區安和路2段5號11樓","","12000000","0701231","1090611"
"126","22025103","恆億文具印刷有限公司","臺北市中山區松江路42號8樓之1","","500000","0750312","1090608"
"127","22073391","宗達藥品有限公司","新北市蘆洲區永平街46號1樓","","10000000","0750225","1090601"
"128","22090808","和億砂輪股份有限公司","臺南市官田區隆田里中山路二段95號1樓","","1550000","0740420","1090624"
"129","22104134","江東企業股份有限公司","彰化縣埔鹽鄉員鹿路三段245號","","5000000","0750407","1090605"
"130","22176208","儲利企業有限公司","臺北市中山區錦州街396號1樓","","2000000","0750729","1090602"
"131","22198527","宏憶彩色照相製版有限公司","新北市板橋區中山路2段412巷16號3樓","","1000000","0751001","1090616"
"132","22227092","英騎國際有限公司","臺中市豐原區西安里圓環南路110號","","5000000","0750718","1090620"
"133","22240953","精準工業股份有限公司","新北市新莊區新樹路67巷2之2號","","11000000","0750814","1090623"
"134","22263548","祥富漁業股份有限公司","高雄市前金區市中一路29號8樓之1","","15000000","0760302","1090624"
"135","22354435","財誠娛樂機械有限公司","新北市中和區建八路201號3樓","","10000000","0760120","1090624"
"136","22401063","呈竑有限公司","新北市中和區連城路469巷44弄5號1樓","","1000000","0760303","1090604"
"137","22401606","立傑精密工業有限公司","新北市五股區四維路八一巷一九號一樓","","5000000","0760304","1090602"
"138","22435084","國鍊實業有限公司","新北市三重區中正北路71巷7號1樓","","2000000","0760407","1090603"
"139","22440002","麗豐藝品有限公司","臺中市大甲區中山里甲后路五段501巷111弄5號1樓","","5000000","0760416","1090612"
"140","22473657","信榮興業股份有限公司","桃園市龜山區南上里民生北路1段456號2樓","","1155000","0760408","1090623"
"141","22482874","宜家紙品企業有限公司","新北市板橋區大同街三五巷二號","","2000000","0760420","1090602"
"142","22498398","郁峯工業有限公司","臺中市西區美村路一段五九號","","2000000","0760513","1090620"
"143","22502885","晶寶電子股份有限公司","桃園市中壢區中建里中山路215號2樓","","25000000","0760519","1090608"
"144","22523967","朱亮企業有限公司","高雄市鼓山區九如四路2007號","","1200000","0760327","1090629"
"145","22538011","勝發電子機械有限公司","高雄市苓雅區四維二路54巷2號18樓之3","","5000000","0760923","1090604"
"146","22563094","煒喨機械股份有限公司","新北市新莊區中正路831之10號1樓","","5000000","0760715","1090604"
"147","22597329","大申水電工程有限公司","臺中市大甲區文武里三民路243號","","5000000","0760914","1090622"
"148","22645477","僑茂有限公司","臺北市大安區愛國東路77號1樓","","500000","0760930","1090619"
"149","22715682","兩歐歐實業有限公司","臺北市中正區新生南路1段6號地下2層之22","","5000000","0761103","1090622"
"150","22735619","將門國際企業有限公司","臺北市大安區金華街57號","","10000000","0761228","1090610"
"151","22739517","景順貿易股份有限公司","臺北市中山區農安街1巷53號4樓","","5000000","0770108","1090611"
"152","22780310","常康工業有限公司","新北市新莊區民安東路43巷2弄1號5樓","","1000000","0770213","1090623"
"153","22799319","亞奇貿易有限公司","桃園市桃園區莊敬里中正路１２５２號２樓","","5000000","0770328","1090604"
"154","22813059","洪瑞軒食品有限公司","新北市板橋區民生路2段226巷31弄6號1樓","","5000000","0770418","1090610"
"155","22813430","欣見實業有限公司","臺南市東區崇明里大同路二段431號","","3000000","0770418","1090622"
"156","22814803","和信企業經營顧問有限公司","臺中市南區永興里南和路199號16樓","","1000000","0770420","1090623"
"157","22883603","何式童裝貿易有限公司","臺北市松山區南京東路5段399號2樓之1","","10000000","0770514","1090601"
"158","22899491","臺豐電話有限公司","臺北市中山區松江路42號7樓之10","","5000000","0770614","1090603"
"159","22906388","銀鍈企業有限公司","臺中市沙鹿區中棲路三條圳巷九九號","","500000","0770426","1090605"
"160","22912430","右發貿易有限公司","新北市板橋區大仁街110巷1號","","5000000","0770503","1090630"
"161","22936572","凱亮金屬股份有限公司","臺中市大肚區新興里沙田路二段308巷12號","","6000000","0770602","1090603"
"162","22940082","祥德建材有限公司","新竹市育英里四維路146號","","2000000","0770607","1090609"
"163","22966809","燦鋒股份有限公司","新北市樹林區柑園街1段33巷47號","","5000000","0770707","1090629"
"164","22967292","立章興業有限公司","臺中市大肚區王田里沙田路一段121號1樓","","3000000","0770708","1090622"
"165","23060330","高騰股份有限公司","臺北市南港區南港路2段142號15樓","","5000000","0770825","1090611"
"166","23073481","重勇股份有限公司","高雄市阿蓮區中路里中路121號","","8000000","0771007","1090622"
"167","23074995","豐漁企業有限公司","高雄市三民區克武路142號1樓","","5000000","0771012","1090529"
"168","23119445","均德股份有限公司","新北市新莊區中正路258巷1弄3號(2樓)","","10000000","0771021","1090619"
"169","23150493","聚鴻實業有限公司","臺北市大同區承德路3段301巷1號1樓","","5000000","0780111","1090603"
"170","23170483","義榮和實業有限公司","臺南市中西區協和里永和街85號1樓","","5000000","0771220","1090608"
"171","23207159","遠燿企業有限公司","新北市三重區同安街126號","","5000000","0780303","1090624"
"172","23211597","頂琳有限公司","新北市永和區福和路139號10樓之1","","5000000","0780310","1090608"
"173","23232811","昇淵有限公司","高雄市鳳山區文殿街63號","","5000000","0780331","1090619"
"174","23235134","興祐億塑膠有限公司","新北市樹林區俊興街191號","","1000000","0780404","1090624"
"175","23236041","松盟工程實業有限公司","桃園市桃園區中德里國際路一段506號","","5000000","0780406","1090608"
